Duration  Inputsize NumNeuros NumThreads=2
3.155745  5 10
3.215316  5 12
3.235183  5 14
3.305030  5 16
3.362078  5 18
3.407897  5 20
3.413549  5 22
5.202977  5 24
5.252009  5 26
3.377174  6 11
3.467984  6 13
3.552330  6 15
3.642372  6 17
3.790514  6 19
3.834010  6 21
3.904841  6 23
5.798373  6 25
5.954435  6 27
3.840826  7 12
4.032873  7 14
4.199973  7 16
4.382973  7 18
4.566734  7 20
4.828627  7 22
5.034612  7 24
6.975686  7 26
7.272800  7 28
4.977889  8 13
5.118093  8 15
5.475696  8 17
5.910331  8 19
6.375994  8 21
6.848989  8 23
7.468874  8 25
9.611026  8 27
10.194156  8 29
