Duration  Inputsize NumNeuros NumThreads=4
3.230239  5 10
3.274445  5 12
3.370779  5 14
3.383388  5 16
3.491677  5 18
3.540336  5 20
3.598379  5 22
5.393524  5 24
5.453660  5 26
3.419231  6 11
3.567076  6 13
3.716532  6 15
3.818842  6 17
3.980627  6 19
4.146237  6 21
4.244056  6 23
6.008596  6 25
6.214789  6 27
3.980010  7 12
4.188844  7 14
4.420622  7 16
4.687932  7 18
5.032256  7 20
5.385802  7 22
5.477951  7 24
7.432398  7 26
7.704107  7 28
5.043216  8 13
5.568146  8 15
5.673396  8 17
6.529821  8 19
6.813514  8 21
7.566241  8 23
8.189370  8 25
10.185321  8 27
10.710772  8 29
