Duration  Inputsize NumNeuros NumThreads=4
0.479213  5 10
0.583378  5 12
0.696529  5 14
0.816064  5 16
0.954577  5 18
1.088394  5 20
1.238812  5 22
1.397501  5 24
1.568370  5 26
1.062819  6 11
1.294634  6 13
1.525392  6 15
1.791142  6 17
2.053468  6 19
2.335928  6 21
2.648810  6 23
3.006949  6 25
3.303512  6 27
2.365826  7 12
2.854487  7 14
3.365057  7 16
3.839070  7 18
4.393413  7 20
4.997954  7 22
5.661304  7 24
6.262419  7 26
6.957903  7 28
5.305456  8 13
6.242436  8 15
7.316305  8 17
8.378688  8 19
9.471681  8 21
10.743853  8 23
12.005849  8 25
13.265778  8 27
14.717941  8 29
