Duration  Inputsize NumNeuros NumThreads=4
0.209290  5 10
0.238244  5 12
0.267007  5 14
0.339295  5 16
0.395213  5 18
0.416269  5 20
0.468893  5 22
0.548270  5 24
0.708813  5 26
0.358159  6 11
0.474155  6 13
0.501472  6 15
0.600005  6 17
0.709579  6 19
0.838408  6 21
1.009189  6 23
1.084193  6 25
1.155674  6 27
0.788316  7 12
0.922405  7 14
1.119117  7 16
1.221307  7 18
1.485736  7 20
1.721434  7 22
1.876156  7 24
2.131802  7 26
2.383532  7 28
1.774141  8 13
1.844375  8 15
2.306978  8 17
2.774335  8 19
3.094771  8 21
3.446518  8 23
3.982724  8 25
4.481266  8 27
5.077564  8 29
