Duration  Inputsize NumNeuros NumThreads=2
0.198319  5 10
0.252372  5 12
0.291569  5 14
0.451526  5 16
0.481384  5 18
0.538707  5 20
0.513495  5 22
0.576877  5 24
0.649626  5 26
0.406792  6 11
0.630039  6 13
0.576404  6 15
0.671998  6 17
0.775995  6 19
0.884700  6 21
1.098163  6 23
1.451838  6 25
1.291451  6 27
0.977108  7 12
1.018144  7 14
1.199882  7 16
1.406915  7 18
1.632316  7 20
1.850563  7 22
2.187306  7 24
2.335665  7 26
2.702355  7 28
1.841579  8 13
2.184817  8 15
2.541203  8 17
2.928390  8 19
3.401184  8 21
3.865280  8 23
4.777894  8 25
4.902649  8 27
5.479932  8 29
